Error code,Message,Description
0x80245FFF,WU_E_REDIRECTOR_UNEXPECTED,The redirector failed for reasons not covered by another WU_E_REDIRECTOR_* error code.
0x80244000,WU_E_PT_SOAPCLIENT_BASE,WU_E_PT_SOAPCLIENT_* error codes map to the SOAPCLIENT_ERROR enum of the ATL Server Library.
0x80244001,WU_E_PT_SOAPCLIENT_INITIALIZE,Same as SOAPCLIENT_INITIALIZE_ERROR - initialization of the SOAP client failed possibly because of an MSXML installation failure.
0x80244002,WU_E_PT_SOAPCLIENT_OUTOFMEMORY,Same as SOAPCLIENT_OUTOFMEMORY - SOAP client failed because it ran out of memory.
0x80244003,WU_E_PT_SOAPCLIENT_GENERATE,Same as SOAPCLIENT_GENERATE_ERROR - SOAP client failed to generate the request.
0x80244004,WU_E_PT_SOAPCLIENT_CONNECT,Same as SOAPCLIENT_CONNECT_ERROR - SOAP client failed to connect to the server.
0x80244005,WU_E_PT_SOAPCLIENT_SEND,Same as SOAPCLIENT_SEND_ERROR - SOAP client failed to send a message for reasons of WU_E_WINHTTP_* error codes.
0x80244006,WU_E_PT_SOAPCLIENT_SERVER,Same as SOAPCLIENT_SERVER_ERROR - SOAP client failed because there was a server error.
0x80244007,WU_E_PT_SOAPCLIENT_SOAPFAULT,Same as SOAPCLIENT_SOAPFAULT - SOAP client failed because there was a SOAP fault for reasons of WU_E_PT_SOAP_* error codes.
0x80244008,WU_E_PT_SOAPCLIENT_PARSEFAULT,Same as SOAPCLIENT_PARSEFAULT_ERROR - SOAP client failed to parse a SOAP fault.
0x80244009,WU_E_PT_SOAPCLIENT_READ,Same as SOAPCLIENT_READ_ERROR - SOAP client failed while reading the response from the server.
x8024400A,WU_E_PT_SOAPCLIENT_PARSE,Same as SOAPCLIENT_PARSE_ERROR - SOAP client failed to parse the response from the server.
0x8024400B,WU_E_PT_SOAP_VERSION,Same as SOAP_E_VERSION_MISMATCH - SOAP client found an unrecognizable namespace for the SOAP envelope.
0x8024400C,WU_E_PT_SOAP_MUST_UNDERSTAND,Same as SOAP_E_MUST_UNDERSTAND - SOAP client was unable to understand a header.
0x8024400D,WU_E_PT_SOAP_CLIENT,Same as SOAP_E_CLIENT - SOAP client found the message was malformed; fix before resending.
0x8024400E,WU_E_PT_SOAP_SERVER,Same as SOAP_E_SERVER - The SOAP message couldn't be processed due to a server error; resend later.
0x8024400F,WU_E_PT_WMI_ERROR,There was an unspecified Windows Management Instrumentation (WMI) error.
0x80244010,WU_E_PT_EXCEEDED_MAX_SERVER_TRIPS,The number of round trips to the server exceeded the maximum limit.
0x80244011,WU_E_PT_SUS_SERVER_NOT_SET,WUServer policy value is missing in the registry.
0x80244012,WU_E_PT_DOUBLE_INITIALIZATION,Initialization failed because the object was already initialized.
0x80244013,WU_E_PT_INVALID_COMPUTER_NAME,The computer name couldn't be determined.
0x80244015,WU_E_PT_REFRESH_CACHE_REQUIRED,The reply from the server indicates that the server was changed or the cookie was invalid; refresh the state of the internal cache and retry.
0x80244016,WU_E_PT_HTTP_STATUS_BAD_REQUEST,Same as HTTP status 400 - the server couldn't process the request due to invalid syntax.
0x80244017,WU_E_PT_HTTP_STATUS_DENIED,Same as HTTP status 401 - the requested resource requires user authentication.
0x80244018,WU_E_PT_HTTP_STATUS_FORBIDDEN,Same as HTTP status 403 - server understood the request but declined to fulfill it.
0x80244019,WU_E_PT_HTTP_STATUS_NOT_FOUND,Same as HTTP status 404 - the server can't find the requested URI (Uniform Resource Identifier).
0x8024401A,WU_E_PT_HTTP_STATUS_BAD_METHOD,Same as HTTP status 405 - the HTTP method isn't allowed.
0x8024401B,WU_E_PT_HTTP_STATUS_PROXY_AUTH_REQ,Same as HTTP status 407 - proxy authentication is required.
0x8024401C,WU_E_PT_HTTP_STATUS_REQUEST_TIMEOUT,Same as HTTP status 408 - the server timed out waiting for the request.
0x8024401D,WU_E_PT_HTTP_STATUS_CONFLICT,Same as HTTP status 409 - the request wasn't completed due to a conflict with the current state of the resource.
0x8024401E,WU_E_PT_HTTP_STATUS_GONE,Same as HTTP status 410 - requested resource is no longer available at the server.
0x8024401F,WU_E_PT_HTTP_STATUS_SERVER_ERROR,Same as HTTP status 500 - an error internal to the server prevented fulfilling the request.
0x80244020,WU_E_PT_HTTP_STATUS_NOT_SUPPORTED,Same as HTTP status 500 - server doesn't support the functionality required to fulfill the request.
0x80244021,WU_E_PT_HTTP_STATUS_BAD_GATEWAY,Same as HTTP status 502 - the server while acting as a gateway or a proxy received an invalid response from the upstream server it accessed in attempting to fulfill the request.
0x80244022,WU_E_PT_HTTP_STATUS_SERVICE_UNAVAIL,Same as HTTP status 503 - the service is temporarily overloaded.
0x80244023,WU_E_PT_HTTP_STATUS_GATEWAY_TIMEOUT,Same as HTTP status 503 - the request was timed out waiting for a gateway.
0x80244024,WU_E_PT_HTTP_STATUS_VERSION_NOT_SUP,Same as HTTP status 505 - the server doesn't support the HTTP protocol version used for the request.
0x80244025,WU_E_PT_FILE_LOCATIONS_CHANGED,Operation failed due to a changed file location; refresh internal state and resend.
0x80244026,WU_E_PT_REGISTRATION_NOT_SUPPORTED,Operation failed because Windows Update Agent doesn't support registration with a non-WSUS server.
0x80244027,WU_E_PT_NO_AUTH_PLUGINS_REQUESTED,The server returned an empty authentication information list.
0x80244028,WU_E_PT_NO_AUTH_COOKIES_CREATED,Windows Update Agent was unable to create any valid authentication cookies.
0x80244029,WU_E_PT_INVALID_CONFIG_PROP,A configuration property value was wrong.
0x8024402A,WU_E_PT_CONFIG_PROP_MISSING,A configuration property value was missing.
0x8024402B,WU_E_PT_HTTP_STATUS_NOT_MAPPED,The HTTP request couldn't be completed and the reason didn't correspond to any of the WU_E_PT_HTTP_* error codes.
0x8024402C,WU_E_PT_WINHTTP_NAME_NOT_RESOLVED,Same as ERROR_WINHTTP_NAME_NOT_RESOLVED - the proxy server or target server name can't be resolved.
0x8024402F,WU_E_PT_ECP_SUCCEEDED_WITH_ERRORS,External cab file processing completed with some errors.
0x80244030,WU_E_PT_ECP_INIT_FAILED,The external cab processor initialization didn't complete.
0x80244031,WU_E_PT_ECP_INVALID_FILE_FORMAT,The format of a metadata file was invalid.
0x80244032,WU_E_PT_ECP_INVALID_METADATA,External cab processor found invalid metadata.
0x80244033,WU_E_PT_ECP_FAILURE_TO_EXTRACT_DIGEST,The file digest couldn't be extracted from an external cab file.
0x80244034,WU_E_PT_ECP_FAILURE_TO_DECOMPRESS_CAB_FILE,An external cab file couldn't be decompressed.
0x80244035,WU_E_PT_ECP_FILE_LOCATION_ERROR,External cab processor was unable to get file locations.
0x80244FFF,WU_E_PT_UNEXPECTED,A communication error not covered by another WU_E_PT_* error code.
0x8024502D,WU_E_PT_SAME_REDIR_ID,Windows Update Agent failed to download a redirector cabinet file with a new redirectorId value from the server during the recovery.
0x8024502E,WU_E_PT_NO_MANAGED_RECOVER,A redirector recovery action didn't complete because the server is managed.
0x80246001,WU_E_DM_URLNOTAVAILABLE,A download manager operation couldn't be completed because the requested file doesn't have a URL.
0x80246002,WU_E_DM_INCORRECTFILEHASH,A download manager operation couldn't be completed because the file digest wasn't recognized.
0x80246003,WU_E_DM_UNKNOWNALGORITHM,A download manager operation couldn't be completed because the file metadata requested an unrecognized hash algorithm.
0x80246004,WU_E_DM_NEEDDOWNLOADREQUEST,An operation couldn't be completed because a download request is required from the download handler.
0x80246005,WU_E_DM_NONETWORK,A download manager operation couldn't be completed because the network connection was unavailable.
0x80246006,WU_E_DM_WRONGBITSVERSION,A download manager operation couldn't be completed because the version of Background Intelligent Transfer Service (BITS) is incompatible.
0x80246007,WU_E_DM_NOTDOWNLOADED,The update hasn't been downloaded.
0x80246008,WU_E_DM_FAILTOCONNECTTOBITS,A download manager operation failed because the download manager was unable to connect the Background Intelligent Transfer Service (BITS).
0x80246009,WU_E_DM_BITSTRANSFERERROR,A download manager operation failed because there was an unspecified Background Intelligent Transfer Service (BITS) transfer error.
0x8024600A,WU_E_DM_DOWNLOADLOCATIONCHANGED,A download must be restarted because the location of the source of the download has changed.
0x8024600B,WU_E_DM_CONTENTCHANGED,A download must be restarted because the update content changed in a new revision.
0x80246FFF,WU_E_DM_UNEXPECTED,There was a download manager error not covered by another WU_E_DM_* error code.
0x80242000,WU_E_UH_REMOTEUNAVAILABLE,A request for a remote update handler couldn't be completed because no remote process is available.
0x80242001,WU_E_UH_LOCALONLY,A request for a remote update handler couldn't be completed because the handler is local only.
0x80242002,WU_E_UH_UNKNOWNHANDLER,A request for an update handler couldn't be completed because the handler couldn't be recognized.
0x80242003,WU_E_UH_REMOTEALREADYACTIVE,A remote update handler couldn't be created because one already exists.
0x80242004,WU_E_UH_DOESNOTSUPPORTACTION,A request for the handler to install (uninstall) an update couldn't be completed because the update doesn't support install (uninstall).
0x80242005,WU_E_UH_WRONGHANDLER,An operation didn't complete because the wrong handler was specified.
0x80242006,WU_E_UH_INVALIDMETADATA,A handler operation couldn't be completed because the update contains invalid metadata.
0x80242007,WU_E_UH_INSTALLERHUNG,An operation couldn't be completed because the installer exceeded the time limit.
0x80242008,WU_E_UH_OPERATIONCANCELLED,An operation being done by the update handler was canceled.
0x80242009,WU_E_UH_BADHANDLERXML,An operation couldn't be completed because the handler-specific metadata is invalid.
0x8024200A,WU_E_UH_CANREQUIREINPUT,A request to the handler to install an update couldn't be completed because the update requires user input.
0x8024200B,WU_E_UH_INSTALLERFAILURE,The installer failed to install (uninstall) one or more updates.
0x8024200C,WU_E_UH_FALLBACKTOSELFCONTAINED,The update handler should download self-contained content rather than delta-compressed content for the update.
0x8024200D,WU_E_UH_NEEDANOTHERDOWNLOAD,The update handler didn't install the update because it needs to be downloaded again.
0x8024200E,WU_E_UH_NOTIFYFAILURE,The update handler failed to send notification of the status of the install (uninstall) operation.
0x8024200F,WU_E_UH_INCONSISTENT_FILE_NAMES,The file names contained in the update metadata and in the update package are inconsistent.
0x80242010,WU_E_UH_FALLBACKERROR,The update handler failed to fall back to the self-contained content.
0x80242011,WU_E_UH_TOOMANYDOWNLOADREQUESTS,The update handler has exceeded the maximum number of download requests.
0x80242012,WU_E_UH_UNEXPECTEDCBSRESPONSE,The update handler has received an unexpected response from CBS.
0x80242013,WU_E_UH_BADCBSPACKAGEID,The update metadata contains an invalid CBS package identifier.
0x80242014,WU_E_UH_POSTREBOOTSTILLPENDING,The post-reboot operation for the update is still in progress.
0x80242015,WU_E_UH_POSTREBOOTRESULTUNKNOWN,The result of the post-reboot operation for the update couldn't be determined.
0x80242016,WU_E_UH_POSTREBOOTUNEXPECTEDSTATE,The state of the update after its post-reboot operation has completed is unexpected.
0x80242017,WU_E_UH_NEW_SERVICING_STACK_REQUIRED,The OS servicing stack must be updated before this update is downloaded or installed.
0x80242FFF,WU_E_UH_UNEXPECTED,An update handler error not covered by another WU_E_UH_* code.
0x80248000,WU_E_DS_SHUTDOWN,An operation failed because Windows Update Agent is shutting down.
0x80248001,WU_E_DS_INUSE,An operation failed because the data store was in use.
0x80248002,WU_E_DS_INVALID,The current and expected states of the data store don't match.
0x80248003,WU_E_DS_TABLEMISSING,The data store is missing a table.
0x80248004,WU_E_DS_TABLEINCORRECT,The data store contains a table with unexpected columns.
0x80248005,WU_E_DS_INVALIDTABLENAME,A table couldn't be opened because the table isn't in the data store.
0x80248006,WU_E_DS_BADVERSION,The current and expected versions of the data store don't match.
0x80248007,WU_E_DS_NODATA,The information requested isn't in the data store.
0x80248008,WU_E_DS_MISSINGDATA,The data store is missing required information or has a NULL in a table column that requires a non-null value.
0x80248009,WU_E_DS_MISSINGREF,The data store is missing required information or has a reference to missing license terms file localized property or linked row.
0x8024800A,WU_E_DS_UNKNOWNHANDLER,The update wasn't processed because its update handler couldn't be recognized.
0x8024800B,WU_E_DS_CANTDELETE,The update wasn't deleted because it's still referenced by one or more services.
0x8024800C,WU_E_DS_LOCKTIMEOUTEXPIRED,The data store section couldn't be locked within the allotted time.
0x8024800D,WU_E_DS_NOCATEGORIES,The category wasn't added because it contains no parent categories and isn't a top-level category itself.
0x8024800E,WU_E_DS_ROWEXISTS,The row wasn't added because an existing row has the same primary key.
0x8024800F,WU_E_DS_STOREFILELOCKED,The data store couldn't be initialized because it was locked by another process.
0x80248010,WU_E_DS_CANNOTREGISTER,The data store isn't allowed to be registered with COM in the current process.
0x80248011,WU_E_DS_UNABLETOSTART,Couldn't create a data store object in another process.
0x80248013,WU_E_DS_DUPLICATEUPDATEID,The server sent the same update to the client with two different revision IDs.
0x80248014,WU_E_DS_UNKNOWNSERVICE,An operation didn't complete because the service isn't in the data store.
0x80248015,WU_E_DS_SERVICEEXPIRED,An operation didn't complete because the registration of the service has expired.
0x80248016,WU_E_DS_DECLINENOTALLOWED,A request to hide an update was declined because it's a mandatory update or because it was deployed with a deadline.
0x80248017,WU_E_DS_TABLESESSIONMISMATCH,A table wasn't closed because it isn't associated with the session.
0x80248018,WU_E_DS_SESSIONLOCKMISMATCH,A table wasn't closed because it isn't associated with the session.
0x80248019,WU_E_DS_NEEDWINDOWSSERVICE,A request to remove the Windows Update service or to unregister it with Automatic Updates was declined because it's a built-in service and/or Automatic Updates can't fall back to another service.
0x8024801A,WU_E_DS_INVALIDOPERATION,A request was declined because the operation isn't allowed.
0x8024801B,WU_E_DS_SCHEMAMISMATCH,The schema of the current data store and the schema of a table in a backup XML document don't match.
0x8024801C,WU_E_DS_RESETREQUIRED,The data store requires a session reset; release the session and retry with a new session.
0x8024801D,WU_E_DS_IMPERSONATED,A data store operation didn't complete because it was requested with an impersonated identity.
0x80248FFF,WU_E_DS_UNEXPECTED,A data store error not covered by another WU_E_DS_* code.
0x8024C001,WU_E_DRV_PRUNED,A driver was skipped.
0x8024C002,WU_E_DRV_NOPROP_OR_LEGACY,A property for the driver couldn't be found. It may not conform with required specifications.
0x8024C003,WU_E_DRV_REG_MISMATCH,The registry type read for the driver doesn't match the expected type.
0x8024C004,WU_E_DRV_NO_METADATA,The driver update is missing metadata.
0x8024C005,WU_E_DRV_MISSING_ATTRIBUTE,The driver update is missing a required attribute.
0x8024C006,WU_E_DRV_SYNC_FAILED,Driver synchronization failed.
0x8024C007,WU_E_DRV_NO_PRINTER_CONTENT,Information required for the synchronization of applicable printers is missing.
0x8024CFFF,WU_E_DRV_UNEXPECTED,A driver error not covered by another WU_E_DRV_* code.
0x80070020,InstallFileLocked,"Couldn't access the file because it is already in use. This can occur when the installer tries to replace a file that an antivirus, antimalware or backup program is currently scanning."
0x80240001,WU_E_NO_SERVICE,Windows Update Agent was unable to provide the service.
0x80240002,WU_E_MAX_CAPACITY_REACHED,The maximum capacity of the service was exceeded.
0x80240003,WU_E_UNKNOWN_ID,An ID can't be found.
0x80240004,WU_E_NOT_INITIALIZED,The object couldn't be initialized.
0x80240005,WU_E_RANGEOVERLAP,The update handler requested a byte range overlapping a previously requested range.
0x80240006,WU_E_TOOMANYRANGES,The requested number of byte ranges exceeds the maximum number (2^31 - 1).
0x80240007,WU_E_INVALIDINDEX,The index to a collection was invalid.
0x80240008,WU_E_ITEMNOTFOUND,The key for the item queried couldn't be found.
0x80240009,WU_E_OPERATIONINPROGRESS,Another conflicting operation was in progress. Some operations such as installation can't be performed twice simultaneously.
0x8024000A,WU_E_COULDNOTCANCEL,Cancellation of the operation wasn't allowed.
0x8024000C,WU_E_NOOP,No operation was required.
0x8024000D,WU_E_XML_MISSINGDATA,Windows Update Agent couldn't find required information in the update's XML data.
0x8024000E,WU_E_XML_INVALID,Windows Update Agent found invalid information in the update's XML data.
0x8024000F,WU_E_CYCLE_DETECTED,Circular update relationships were detected in the metadata.
0x80240010,WU_E_TOO_DEEP_RELATION,Update relationships too deep to evaluate were evaluated.
0x80240011,WU_E_INVALID_RELATIONSHIP,An invalid update relationship was detected.
0x80240012,WU_E_REG_VALUE_INVALID,An invalid registry value was read.
0x80240013,WU_E_DUPLICATE_ITEM,Operation tried to add a duplicate item to a list.
0x80240016,WU_E_INSTALL_NOT_ALLOWED,Operation tried to install while another installation was in progress or the system was pending a mandatory restart.
0x80240017,WU_E_NOT_APPLICABLE,Operation wasn't performed because there are no applicable updates.
0x80240018,WU_E_NO_USERTOKEN,Operation failed because a required user token is missing.
0x80240019,WU_E_EXCLUSIVE_INSTALL_CONFLICT,An exclusive update can't be installed with other updates at the same time.
0x8024001A,WU_E_POLICY_NOT_SET,A policy value wasn't set.
0x8024001B,WU_E_SELFUPDATE_IN_PROGRESS,The operation couldn't be performed because the Windows Update Agent is self-updating.
0x8024001D,WU_E_INVALID_UPDATE,An update contains invalid metadata.
0x8024001E,WU_E_SERVICE_STOP,Operation didn't complete because the service or system was being shut down.
0x8024001F,WU_E_NO_CONNECTION,Operation didn't complete because the network connection was unavailable.
0x80240020,WU_E_NO_INTERACTIVE_USER,Operation didn't complete because there's no logged-on interactive user.
0x80240021,WU_E_TIME_OUT,Operation didn't complete because it timed out.
0x80240022,WU_E_ALL_UPDATES_FAILED,Operation failed for all the updates. Most common issue is that antivirus software is blocking access to certain folders (like SoftwareDistribution). CBS.log analysis needed to determine the file or folder being protected.
0x80240023,WU_E_EULAS_DECLINED,The license terms for all updates were declined.
0x80240024,WU_E_NO_UPDATE,There are no updates.
0x80240025,WU_E_USER_ACCESS_DISABLED,Group Policy settings prevented access to Windows Update.
0x80240026,WU_E_INVALID_UPDATE_TYPE,The type of update is invalid.
0x80240027,WU_E_URL_TOO_LONG,The URL exceeded the maximum length.
0x80240028,WU_E_UNINSTALL_NOT_ALLOWED,The update couldn't be uninstalled because the request didn't originate from a WSUS server.
0x80240029,WU_E_INVALID_PRODUCT_LICENSE,Search may have missed some updates before there's an unlicensed application on the system.
0x8024002A,WU_E_MISSING_HANDLER,A component required to detect applicable updates was missing.
0x8024002B,WU_E_LEGACYSERVER,An operation didn't complete because it requires a newer version of server.
0x8024002C,WU_E_BIN_SOURCE_ABSENT,A delta-compressed update couldn't be installed because it required the source.
0x8024002D,WU_E_SOURCE_ABSENT,A full-file update couldn't be installed because it required the source.
0x8024002E,WU_E_WU_DISABLED,Access to an unmanaged server isn't allowed.
0x8024002F,WU_E_CALL_CANCELLED_BY_POLICY,Operation didn't complete because the DisableWindowsUpdateAccess policy was set.
0x80240030,WU_E_INVALID_PROXY_SERVER,The format of the proxy list was invalid.
0x80240031,WU_E_INVALID_FILE,The file is in the wrong format.
0x80240032,WU_E_INVALID_CRITERIA,The search criteria string was invalid.
0x80240033,WU_E_EULA_UNAVAILABLE,License terms couldn't be downloaded.
0x80240034,WU_E_DOWNLOAD_FAILED,Update failed to download.
0x80240035,WU_E_UPDATE_NOT_PROCESSED,The update wasn't processed.
0x80240036,WU_E_INVALID_OPERATION,The object's current state didn't allow the operation.
0x80240037,WU_E_NOT_SUPPORTED,The functionality for the operation isn't supported.
0x80240038,WU_E_WINHTTP_INVALID_FILE,The downloaded file has an unexpected content type.
0x80240039,WU_E_TOO_MANY_RESYNC,Agent is asked by server to resync too many times.
0x80240040,WU_E_NO_SERVER_CORE_SUPPORT,WUA API method doesn't run on Server Core installation.
0x80240041,WU_E_SYSPREP_IN_PROGRESS,Service isn't available while sysprep is running.
0x80240042,WU_E_UNKNOWN_SERVICE,The update service is no longer registered with AU.
0x80240043,WU_E_NO_UI_SUPPORT,There's no support for WUA UI.
0x80240FFF,WU_E_UNEXPECTED,An operation failed due to reasons not covered by another error code.
0x80070422,ERROR_SERVICE_DISABLED,Windows Update service stopped working or isn't running.
0x00240001,WU_S_SERVICE_STOP,Windows Update Agent was stopped successfully.
0x00240002,WU_S_SELFUPDATE,Windows Update Agent updated itself.
0x00240003,WU_S_UPDATE_ERROR,Operation completed successfully but there were errors applying the updates.
0x00240004,WU_S_MARKED_FOR_DISCONNECT,A callback was marked to be disconnected later because the request to disconnect the operation came while a callback was executing.
0x00240005,WU_S_REBOOT_REQUIRED,The system must be restarted to complete installation of the update.
0x00240006,WU_S_ALREADY_INSTALLED,The update to be installed is already installed on the system.
0x00240007,WU_S_ALREADY_UNINSTALLED,The update to be removed isn't installed on the system.
0x00240008,WU_S_ALREADY_DOWNLOADED,The update to be downloaded has already been downloaded.
0x80241001,WU_E_MSI_WRONG_VERSION,Search may have missed some updates because the Windows Installer is less than version 3.1.
0x80241002,WU_E_MSI_NOT_CONFIGURED,Search may have missed some updates because the Windows Installer isn't configured.
0x80241003,WU_E_MSP_DISABLED,Search may have missed some updates because policy has disabled Windows Installer patching.
0x80241004,WU_E_MSI_WRONG_APP_CONTEXT,An update couldn't be applied because the application is installed per-user.
0x80241FFF,WU_E_MSP_UNEXPECTED,Search may have missed some updates because there was a failure of the Windows Installer.
0x8024D001,WU_E_SETUP_INVALID_INFDATA,Windows Update Agent couldn't be updated because an INF file contains invalid information.
0x8024D002,WU_E_SETUP_INVALID_IDENTDATA,Windows Update Agent couldn't be updated because the wuident.cab file contains invalid information.
0x8024D003,WU_E_SETUP_ALREADY_INITIALIZED,Windows Update Agent couldn't be updated because of an internal error that caused setup initialization to be performed twice.
0x8024D004,WU_E_SETUP_NOT_INITIALIZED,Windows Update Agent couldn't be updated because setup initialization never completed successfully.
0x8024D005,WU_E_SETUP_SOURCE_VERSION_MISMATCH,Windows Update Agent couldn't be updated because the versions specified in the INF don't match the actual source file versions.
0x8024D006,WU_E_SETUP_TARGET_VERSION_GREATER,Windows Update Agent couldn't be updated because a WUA file on the target system is newer than the corresponding source file.
0x8024D007,WU_E_SETUP_REGISTRATION_FAILED,Windows Update Agent couldn't be updated because regsvr32.exe returned an error.
0x8024D009,WU_E_SETUP_SKIP_UPDATE,An update to the Windows Update Agent was skipped due to a directive in the wuident.cab file.
0x8024D00A,WU_E_SETUP_UNSUPPORTED_CONFIGURATION,Windows Update Agent couldn't be updated because the current system configuration isn't supported.
0x8024D00B,WU_E_SETUP_BLOCKED_CONFIGURATION,Windows Update Agent couldn't be updated because the system is configured to block the update.
0x8024D00C,WU_E_SETUP_REBOOT_TO_FIX,Windows Update Agent couldn't be updated because a restart of the system is required.
0x8024D00D,WU_E_SETUP_ALREADYRUNNING,Windows Update Agent setup is already running.
0x8024D00E,WU_E_SETUP_REBOOTREQUIRED,Windows Update Agent setup package requires a reboot to complete installation.
0x8024D00F,WU_E_SETUP_HANDLER_EXEC_FAILURE,Windows Update Agent couldn't be updated because the setup handler failed during execution.
0x8024D010,WU_E_SETUP_INVALID_REGISTRY_DATA,Windows Update Agent couldn't be updated because the registry contains invalid information.
0x8024D013,WU_E_SETUP_WRONG_SERVER_VERSION,Windows Update Agent couldn't be updated because the server doesn't contain update information for this version.
0x8024DFFF,WU_E_SETUP_UNEXPECTED,Windows Update Agent couldn't be updated because of an error not covered by another WU_E_SETUP_* error code.
0x80070070,None,The error occurs because not enough disk space exists on your physical computer or VM to store Windows updates for installation.
0x80070643,ERROR_INSTALL_FAILURE,Windows Update Agent was unable to install due to running out of space in the recovery partition. Manual steps are necessary to complete the installation of this update on devices which are experiencing this error. 
0x8024402F,WU_E_PT_ECP_SUCCEEDED_WITH_ERRORS,External .cab file processing completed with some errors
0x80242006,WU_E_UH_INVALIDMETADATA,A handler operation couldn't be completed because the update contains invalid metadata. Rename the software redistribution folder and try to download the updates again:
Rename the following folders to *.BAK: "%systemroot%\system32\catroot2"
0x80070BC9,ERROR_FAIL_REBOOT_REQUIRED,The requested operation failed. Restart the system to roll back changes made.
0x80200053,BG_E_VALIDATION_FAILED,Ensure that there are no firewalls that filter downloads. Such filtering could lead to incorrect responses being received by the Windows Update client.
0x80072EFD,TIME_OUT_ERROR,The operation timed out. Ensure the host has access to Microsoft download URLs.
0x80072EFE,WININET_E_CONNECTION_ABORTED,BITS is unable to transfer the file successfully. Encountered if BITS is broken or if the file being transferred can't be written to the destination folder on the client. This error is caused by connection errors while checking or downloading updates.
